회사명,종목코드
케이탑리츠,145270.KS
케이티스카이라이프,53210.KS
코리안리,3690.KS
코오롱인더,120110.KS
태경케미컬,6890.KS
태양금속공업,4100.KS
포스코퓨처엠,3670.KS
하나제약,293480.KS
한국주강,25890.KS
한솔제지,213500.KS
한솔홀딩스,4150.KS
한신기계공업,11700.KS
한온시스템,18880.KS
현대그린푸드,453340.KS
현대엘리베이터,17800.KS
화승알앤에이,378850.KS
효성,4800.KS
흥아해운,3280.KS
AK홀딩스,6840.KS
CS홀딩스,590.KS
DB하이텍,990.KS
DL,210.KS
ESR켄달스퀘어리츠,365550.KS
F&F,383220.KS
GS,78930.KS
HD현대미포,10620.KS
HD현대일렉트릭,267260.KS
HD현대중공업,329180.KS
KEC,92220.KS
KG케미칼,1390.KS
KR모터스,40.KS
LG,3550.KS
LG디스플레이,34220.KS
LX홀딩스,383800.KS
NH투자증권,5940.KS
NICE,34310.KS
SHD,1770.KS
SK케미칼,285130.KS
iM금융지주,139130.KS
가온전선,500.KS
강남제비스코,860.KS
고려산업,2140.KS
대영포장,14160.KS
대원화성,24890.KS
대유에이텍,2880.KS
대한제당,1790.KS
대한해운,5880.KS
더블유게임즈,192080.KS
더존비즈온,12510.KS
덕성,4830.KS
도화엔지니어링,2150.KS
동남합성,23450.KS
동방,4140.KS
동서,26960.KS
동양고속,84670.KS
동양피스톤,92780.KS
두산에너빌리티,34020.KS
디씨엠,24090.KS
모나용평,70960.KS
보해양조,890.KS
비비안,2070.KS
삼성E&A,28050.KS
삼성생명,32830.KS
삼양식품,3230.KS
삼양통상,2170.KS
삼영무역,2810.KS
삼원강재,23000.KS
삼일제약,520.KS
삼천리,4690.KS
서울도시가스,17390.KS
서울식품공업,4410.KS
성신양회,4980.KS
성안머티리얼스,11300.KS
성창기업지주,180.KS
세방,4360.KS
세이브존I&C,67830.KS
세진중공업,75580.KS
시프트업,462870.KS
신세계푸드,31440.KS
신풍,2870.KS
씨아이테크,4920.KS
씨에스윈드,112610.KS
아모레퍼시픽,90430.KS
에스디바이오센서,137310.KS
엠씨넥스,97520.KS
영원무역홀딩스,9970.KS
온타이드,5320.KS
우리금융지주,316140.KS
유성기업,2920.KS
유수홀딩스,700.KS
율촌화학,8730.KS
일동제약,249420.KS
일성아이에스,3120.KS
일진하이솔루스,271940.KS
제일기획,30000.KS
조일알미늄,18470.KS
지역난방공사,71320.KS
천일고속,650.KS
카카오뱅크,323410.KS
케이카,381970.KS
코스맥스,192820.KS
코스맥스비티아이,44820.KS
크라운해태홀딩스,5740.KS
티에이치엔,19180.KS
티와이홀딩스,363280.KS
티웨이항공,91810.KS
페이퍼코리아,1020.KS
평화산업,90080.KS
하이브,352820.KS
하이트진로,80.KS
한국무브넥스,10100.KS
한국자산신탁,123890.KS
한국전자홀딩스,6200.KS
한국제지,27970.KS
한국타이어앤테크놀로지,161390.KS
한미글로벌,53690.KS
한솔케미칼,14680.KS
한솔피엔에스,10420.KS
한일철강,2220.KS
한화리츠,451800.KS
한화비전,489790.KS
한화오션,42660.KS
해성디에스,195870.KS
현대글로비스,86280.KS
화승엔터프라이즈,241590.KS
화승인더스트리,6060.KS
황금에스티,32560.KS
후성,93370.KS
CJ프레시웨이,51500.KQ
FSN,214270.KQ
GH신소재,130500.KQ
GRT,900290.KQ
HLB,28300.KQ
HPSP,403870.KQ
KCC건설,21320.KQ
M83,476080.KQ
PN풍년,24940.KQ
RFHIC,218410.KQ
S&K폴리텍,91340.KQ
SCI평가정보,36120.KQ
SGA,49470.KQ
SM Life Design,63440.KQ
YBM넷,57030.KQ
iMBC,52220.KQ
가온그룹,78890.KQ
감성코퍼레이션,36620.KQ
경동제약,11040.KQ
경창산업,24910.KQ
골드앤에스,35290.KQ
교보17호스팩,489210.KQ
금화피에스시,36190.KQ
꿈비,407400.KQ
나노엔텍,39860.KQ
내츄럴엔도텍,168330.KQ
네오펙트,290660.KQ
노바텍,285490.KQ
녹십자엠에스,142280.KQ
뉴온,123840.KQ
다원넥스뷰,323350.KQ
대명에너지,389260.KQ
대모,317850.KQ
대성미생물,36480.KQ
대원산업,5710.KQ
더네이쳐홀딩스,298540.KQ
더블유에스아이,299170.KQ
덕우전자,263600.KQ
덴티스,261200.KQ
동구바이오제약,6620.KQ
동우팜투테이블,88910.KQ
드림어스컴퍼니,60570.KQ
디알텍,214680.KQ
디지캡,197140.KQ
라온테크,232680.KQ
라온텍,418420.KQ
라이콤,388790.KQ
램테크놀러지,171010.KQ
러셀,217500.KQ
레이저쎌,412350.KQ
로보스타,90360.KQ
로체시스템즈,71280.KQ
리더스코스메틱,16100.KQ
링크드,193250.KQ
메타바이오메드,59210.KQ
모베이스,101330.KQ
모헨즈,6920.KQ
미래반도체,254490.KQ
바이오다인,314930.KQ
바이젠셀,308080.KQ
바텍,43150.KQ
벨로크,424760.KQ
보로노이,310210.KQ
본느,226340.KQ
부방,14470.KQ
뷰노,338220.KQ
브이씨,365900.KQ
비보존 제약,82800.KQ
비피도,238200.KQ
삼보모터스,53700.KQ
삼성스팩8호,448740.KQ
삼양엔씨켐,482630.KQ
